(a)moth|fen, marsh (n)
rib|stripe, line; ⚠️shore; border, fringe (n)
rig- (Motion and Transportation)|to twist, contort; *to confuse, disarrange, upset (vb)
rig- (Physical Acts and Materials)|to try, strive (vb)
rim (Physical World)|cold pool or lake (in mountains) (n)
rim (Quantity and Number)|host, great number, people (of one kind or origin), [N.] crowd (n)
rimp|shred, slice, sliver (n)
rin-|to revolve, ⚠️return, come back; to do again (vb)
rinc|twitch, jerk, sudden move (n)
rind|circle (n)
ringorn|circle (n)
ring|cold, chill, [G.] cool (adj)
riss|cleft, [N.] ravine; ⚠️cleft, cloven, separate (n)
rista-|to cut; to rend, rip (vb)
ritha-|to jerk, twitch, snatch (vb)
ritha-|to try, strive (vb)
ro-|*superlative (pref)
rochben|rider (n)
rochir|knight, horse-lord (n)
rochon|rider (n)
roch|horse (n)
rodel|lady, high lady (n)
rodol|little pipe (especially musical) (n)
rod|tube, stem, *pipe (n)
rogol|saddle (n)
rohir|knight (n)
romru|sound of horns (n)
rom|horn, trumpet (n)
rond|(vaulted or arched) roof; vaulted chamber or cavern; heavens [as a roof of the world] (n)
ronga-|to hasten (vb)
rong|soon (adv)
ron|smoothed by polishing (adj)
rosg|fox (n)
ross (adj)|red-haired, copper-coloured (adj)
ross (n, Physical Acts and Materials)|polished metal (n)
ross (n, Physical World)|rain; spray, ⚠️spindrift, foam (n)
rostaur|rainforest (n)
rost|rainy (adj)
rothron|polisher (n)
rov-|to tear (vb)
rovaed|[most] skillful (adj)
roval|winged; [N.] pinion, great wing (of an eagle) (adj n)
ruida-|to pursue, chase (vb)
ruin|red flame; fiery red (n adj)
ruist|fireplace, hearth (n)
rui|hunt, hunting, *chase (n)
run-|to rub, grind (vb)
runna-|to polish, burnish (vb)
rusc|fox (n)
rustui|copper, *of copper, like copper (adj)
rust|copper (n)
ruthra-|to rage (vb)
râd|path, pass, [N.] track (n)
rían|queen, *(lit.) crowned-lady (n)
rídhas|the country, countryside, farmland (n)
rídhathren|rustic, rural (adj)
rínada-|to crown, coronate (vb)
rítha-|to try, strive (vb)
rîdh|sown field, [N.] acre (n)
rîf|bark (n)
rîn (adj)|crowned (adj)
rîn (n)|remembrance (n)
rîs|queen (n)
rîth|effort, endeavour (n)
rîw|brink, brim (n)
rî|wreath, garland; [N.] crown (n)
rôn|liver (n)
rúthui|angry, wrathful (adj)
rûdh|bald (n)
rûn (adj)|polished, burnished, smoothed by polishing (adj)
rûn (n)|east (n)
rûth|wrath, anger (n)
rû|loud sound, trumpet-sound (n)
rŷn|chaser, hound of chase (n)
sa (prep adv)|beside, alongside, next (to) (prep adv)
sa (pron)|that (pron)
sab-|to dig (vb)
sabar|delving (n)
sadar|trusty follower, loyal companion (n)
sador|steadfast, trusty, loyal (adj)
sadron|trusty follower, loyal companion (n)
sad|place, spot (n)
saeb (adj)|hungry (adj)
saeb (n)|boot (n)
saeda-|to teach, *train, (lit.) make wise (vb)
saegon|famine, (great) hunger (n)
saeg|hunger (n)
saelas|wisdom (n)
saelor|advisor (n)
sael|wise (adj)
saera-|to urinate (vb)
saerlin|urine (n)
saetha-|to cause hunger (vb)
said|private, separate, not common, excluded (adj)
sain|new (adj)
sai|those (pron)
salcha-|to scythe or mow (vb)
salch|green cut grass, ensilage (n)
salph|broth (n)
sammar|*neighbor (n)
samp|spade, shovel (n)
sam|chamber, [G.] room (n)
sant|garden, field, yard (n)
san|that (pron)
sarch|grave (n)
sardh|table (n)
sarneg|pebble (n)
sarn|(small) stone, pebble; stony (place); ⚠️[N.] stone as a material (n adj)
sarth|note, jot, scribbling (n)
sasta-|to put, place (vb)
sath|part (n)
saur|bad (of food), putrid (adj)
sav- (Mind and Thought)|to believe in, accept as fact (vb)
sav- (Possession and Trade)|to have (vb)
saw|filth, putrescence (n)
sedh-|to rest (vb)
seidia-|to set aside, appropriate to a special purpose or owner (vb)
sein|usual (adj)
sell|daughter; [N.] †girl, maid (n)
semp|flute, pipe, whistle (n)
senc|mineral-like, flinty; flint (adj n)
send|?rest (n)
sennas|guesthouse (n)
sennui|?rather, instead (adv)
sen|this (pron)
seregon|stonecrop, plant with red flowers, (lit.) blood of stone (n)
sereg|blood (n)
serni|shingle, pebble bank (n)
seron|lover (n)
sesta-|to set, (lit.) to make rest (on) (vb)
se|this (pron)
sibra-|to whimper, ⚠️weep (vb)
siel|granddaughter (n)
sigil|necklace (n)
silef|(white) crystal; ⚠️[N.] silver, shining white (n adj)
silevren|like silef (crystal) (adj)
silivren|(white) glittering, crystalline (adj)
sinc|*mineral, ⚠️[G.] metal (n)
singil|mirror (n)
singren|salt, *salty (adj)
sing|salt (n)
sinnen|known (adj)
sin|these (pron)
sion|grandson (n)
siriol|flowing, fluent, liquid, melliflous (adj)
sirith|flowing (n)
sith|affair, matter (n)
soethor|drinking-horn (n)
solph|soup (n)
somma-|to dive, duck (vb)
sommor|duck, waterfowl (n)
sov-|to wash clean, bathe (vb)
suila-|to greet (vb)
suilad|greeting (n)
suilanna-|to greet, *give greeting (vb)
suithlas|tea, *(lit.) drink of leaf (n)
suith|draught, [G.] a drink (n)
sui|*as (prep)
sunt|nostrils (n)
sâdh|sward, turf (n)
sí(r)|now (adv)
sídheb|peaceful, full of peace (adj)
síla-|*to shine (vb)
sír|*today, this day (n)
sí|here, in this place (of speaker) (adv)
sîr|river, stream (n)
sî|yet, hither(to), hereto (adv)
súda-|to blow (of wind) (vb)
sûf|bosom (n)
sûl|[strong] wind, *gust (n)
sûn|bath (n)
sû|noise of wind (n)
tab-|to stop, block, close (vb)
tachol|brooch, clasp, [N.] pin (n)
tad-dal|two-legged, *biped (adj)
tadhos|hawthorn (n)
tadui|second (ordinal)
taeg|boundary, limit, boundary line (n)
taer|lofty, *high (adj)
tag-|to fix, make firm, *fasten, ⚠️construct (vb)
tagol|post, mark (n)
tagron|smith (n)
taid|supporting, second in command (adj)
taig|marking (a boundary) (adj)
tain|letter, epistle, missive (n)
tair|vertical, (lit.) standing (adj)
taith|note, jot, scribbling, (lit.) a little writing (n)
taith|sign, symbol; mark, [N.] stroke; ⚠️[G.] letter (n)
talagan|harper (n)
talan|platform, flat space, flet [Middle English = ‘floor’] (n)
talath|flat lands, plain, vale (n)
talf|wang, flat field, topographical flat area (n)
tallam|conlang (n)
tallen|playful, fun(ny) (adj)
tallif|ankle (n)
talphressui|mischievous (adj)
talphres|mischief, (lit.) play(ful)-trouble/disturbance (n)
talraph|stirrup (n)
taltha-|to slip (down), collapse, fall in ruin (vb)
talu|flat (adj)
talvad|footpath (n)
tammos|cauldron (n)
tana-|to show, indicate, point out (vb)
taphaen|twenty (cardinal)
tar-|to stand (vb)
tarchas|roughness, ruggedness, rudeness (n)
tarch|stiff, rough (or tough) (adj)
tarlang|proud, [N.] obstinate, [S.] (lit.) stiff-necked; stiff neck (a nickname applied to men of haughty carriage or mood); ⚠️the stiff/tough passage (adj n)
tarph|dry [esp. of foods], [G.] stale (adj)
taru|cross, *crucifix; ⚠️crossing (n)
tasta-|to (put to the) test, *verify (vb)
tastaith|test (n)
tast|border, fringe (n)
tas|index finger (n)
tathar|willow (tree) (n)
tathren|of willow(s) (adj)
taugla-|to resist (vb)
taug|firm, strong, (?withstand) (adj)
tauron|forester (n)
taur|forest, wood, [N.] great wood, [G.] dense wood (n)
tavnen|made (by craft of hand), wrought, fashioned (adj)
tavn|thing made by handicraft (n)
taw (adv)|thither (adv)
taw (n)|wood as material (n)
taw (pron)|that (pron)
tawar|forest; [N.] wood (material) (n)
tawen|wood (of material), wooden (of make) (adj)
techu|chip (n)
tegil|pen (n)
tehar|brick (n)
teitha-|to write, draw, inscribe, make marks or signs (vb)
tel-|to end, finish, be done (vb)
teleg|leg (n)
teleir|*Telerin (adj)
telf|conclusion, ending, anything used to finish off a work or affair (n)
telia-|to finish, conclude (vb)
telias|play, game, sport, mirth (n)
tellyn|sole of foot (n)
tell|last, final (in a series) (adj)
telt|lid (n)
telum|mushroom (n)
tengolu|semantics (n)
tent|toe (n)
ten|*it, passive voice marker (pron)
tertha-|to destroy, *ruin, †(orig.) to make pierced; ⚠️to devour (vb)
terthaith|waste, ruin, destruction (n)
tev-|to detest, hate (vb)
tevas|hatred (n)
tevren|hateful (adj)
tewch|(?chip) (n)
tewig|morpheme (n)
thaes|attraction, temptation (n)
thaetha-|to split (vb)
thag-|to draw, pull (vb)
thagel|pulling, luring (adj)
thain (adj)|law-abiding, regular, normal, *lawful, formal, according to custom (adj)
thain (n)|law, rule (n)
thalas|valour, courage (n)
thalieth|heroine, dauntless woman (n)
thalion|strong, dauntless; [N.] hero, dauntless man; ⚠️[ᴱN.] warrior (adj n)
thall|steep, falling steeply (of river) (adj)
thalos|torrent (n)
thalph|grease (n)
thanc|forked, [N.] cleft, split, [ᴱN.] divided, cloven, bifurcated; [ᴱN.] cleft, break, breach (adj n)
thand (adj)|firm, true, abiding (adj)
thand (n)|shield (n)
thangail|shield-fence, shield-wall (n)
thang|oppression, pressure; [N.] compulsion, duress, need; ⚠️[G.] crowd, crush, herd (n)
thar-|to saw (up) (vb)
tharan|vigorous (adj)
tharchol-|to translate, (lit.) carry-across (vb)
tharf|saw (n)
thar|across, athwart, over (prep pref)
thas-|to shave (vb)
thasgim|razor, (lit.) shave-blade (n)
thasg|shaven (adj)
thast|shaving(s) (n)
thaur|abominable, horrible (adj)
thavn|post, wooden pillar (n)
theinas|law, rule (n)
theinweg|lawman, lawyer (n)
thein|lawful, formal, according to custom (adj)
thel-|to intend, mean, purpose, resolve, will (vb)
thennas|shortness (n)
thenn|short (adj)
thent|short (adj)
then|this (pron)
ther-|to sew (vb)
theres|ribbon, ⚠️tie (n)
theria-|to be vigorous, flourish (vb)
theriol|flourishing (adj)
thibinor|piper (n)
thibin|flute (n)
thimma-|to play a flute or whistle (vb)
thimp|the stop on a flute (n)
thim|milk (after separation) (n)
thindrostir|badger (n)
thind|grey, [N.] pale (adj)
thinn|grey (adj)
thint|tin (metal) (n)
thir-|to seem, appear, look (vb)
thirph|straw (n)
thisin|parched, withered, *desiccated (adj)
thista-|to dry up (vb)
thiv-|to skim (vb)
thivol|whistle, piccolo (n)
tho-|*will be (vb)
thond|root, [N.] base; ⚠️root-word (n)
thoniel|kindler (in the past) (adj)
thorn (adj)|steadfast (adj)
thorn (n)|eagle (n)
thornang|steel, (lit.) hard-iron (n)
thorombar|eagle’s nest, eyrie (n)
thoron|eagle (n)
thossui|fearful, afraid (adj)
thoss|fear (n)
thostol|stinking (adj)
thos|puff (of air) (n)
thriben|lean (adj)
thrimp|stalk (n)
thuis|resinous juice; any adhesive substance (n)
thurin|secret, hidden (adj)
thâf|hay (n)
thîr|face, [N.] look, expression, countenance (n)
thî|now (adv)
thôl|helmet, helm (n)
thôn|pine-tree (n)
thúna-|to be spiritually affected, inspired (vb)
thúnas|inspiration (n)
thû (Emotion)|movement of spirit (n)
thû (Sense Perception)|[N.] stench; [S.] black mist, horrible darkness (n)
thûg|resin (n)
till|point, spike, (sharp) horn, tine, ending (n)
timp|hoot, note of a flute (n)
tin (n)|spark, sparkle, twinkle of stars (n)
tin (pron)|them (pron)
tingen|metallic (adj)
tiniath|group of stars, star-cluster, constellation (n)
tinnu|[N.] (starry) twilight, dusk, early night (without moon) (n)
tinthiltha-|to twinkle, *sparkle (vb)
tinthilthad|sparkling, twinkling, scintillation (n)
tiph-|to whistle (vb)
tiphin|small flute (n)
tir-|to look (towards), watch (over), guard; ⚠️[G.] to look (out) for, watch for, await, expect (vb)
tiria-|to watch, gaze; to ward, guard (vb)
tirith|watching, guarding, watch, ward, guard (n)
tirnen|guarded (adj)
tisga-|to tickle (vb)
tisg|ticklish (adj)
tith|breast [of a woman], teat (n)
ti|*they (pron)
tobla-|to hide (vb)
toch|cud (n)
tol(l)|island, (high steep-sided) isle (n)
tol-|to come (vb)
tolcha-|to support, *steady, comfort; ⚠️to make firm, confirm (vb)
tolch|*sticker-up (n)
toled|coming, arrival (n)
toleg|*sticker-up (n)
tolf|mast (n)
tolhui|eighth (ordinal)
tollui|eighth (ordinal)
tolob|eighteen (cardinal)
tolodh|eight (cardinal)
tolod|eight (cardinal)
tolophaen|eighty (cardinal)
tolothen|eighth (ordinal)
tolpheg|spoon (n)
tolph|bowl, basin (n)
tolthui|eighth (ordinal)
tomp|humped, bulging (adj)
tond|tall (adj)
tor-|to win, have victory (vb)
torchal|shark or other large predatory fish (n)
torech|lair, (secret) hole, excavation (n)
torn (adj)|hidden, secret (adj)
torn (n)|burial mound (n)
tor|the Dead (n)
tosta-|to cough (vb)
tovn|lowlying, deep, low (adj)
trannail|regional, local (n)
trann|shire, *county, adminitrative region (n)
trastadweg|annoying (adj)
trog|easy to handle; convenient, tractable, docile (adj)
trunc|great stake (n)
tudheg|match (n)
tudh|tinder (n)
tuig|shoot, sapling, ⚠️sprout (n)
tuila-|to bud, open (of flowers and leaves) (vb)
tuilas|petal, (lit.) bud-leaf (n)
tuilu-|to bud, open (of flowers and leaves) (vb)
tuil|spring (n)
tump|shed (n)
tum|(deep) valley, vale; ⚠️[ᴱN.] flat vale (n)
tunc|chance, occurrence; ⚠️arrival; hit at shooting; luck (n)
tund|log for the fire, *firewood, fuel (n)
tund|mound, hill (n)
tâd|two (cardinal)
tâl|foot; [lower] end (n)
tân|builder, smith, wright, artificer (n)
têw|letter (n)
tínen|silent (adj)
tíra-|to see (vb)
tírad(a)-|to correct, straighten, rectify (n)
tírad|vision, seeing (n)
tîf|resentment, ill feeling, bitterness (n)
tîl|scab, cicatrice, healing of a wound (n)
tîn (adj)|silent, quiet (adj)
tîn (n)|spark, sparkle, twinkle of stars (n)
tîn (pron)|his (pron)
tîw|*letter (n)
tódhi|paddock (n)
tô|wool, fleece (n)
túgomui|corpulent, (lit.) having a fat belly (adj)
túgom|fat-bellied (adj)
túliel|come, arrived (adj)
tûr|[N.] mastery, victory, [ᴱN.] power [over others]; ⚠️[S.] master (n)
tŷg|thigh (n)
ui-|twi- (pref)
uial|twilight, evendim (n)
uil-|to rain (vb)
uilos|white flower like a star (n)
uir|*fiery (adj)
uitha-|to smoke (trans.) (vb)
ui|ever (adv)
ulunn|monster, deformed and hideous creature (n)
ummas|evil (n)
um|bad, evil (adj)
ungol|spider (n)
unt|nothing (n)
urnui|inflammable; touchy, irritable; ⚠️explosive (adj)
urug|bogey (n)
urun|copper (n)
uru|brazier, grate (n)
uthwen|escape, way out, exit (n)
uwedhen|outlaw, outcast (adj)
uwedhron|outlaw, outcast (n)
vanedhel|elven fair (adj)
vi|in (prep)
wanedhel|elven fair (adj)
wá(wa)|breeze[?] (n)
ylf|drinking-vessel, *cup (n)
ylin|liquid (adj n)
yllas|tea, *(lit.) drink of leaf (n)
yll|draught (n)
ylvon|chalice (n)
yneb|*twelve (cardinal)
Úrui|August, *Hot-one (n)
êl|star (n)
ídhra-|to long for, desire (vb)
íd|extremely, very (adv)
ínias|annals (n)
íphathred|yearfullness, age of person (n)
íra-|to desire (vb)
írui|desirable, lovely (adj)
î(r)|impersonal plural pronoun (pron)
îdh|rest, repose, peace, tranquility (n)
îf|cliff, sheer descent (n)
în (n)|year (n)
în (pron)|his, *reflexive possessive = his own (pron)
îr|*alone (adj)
î|indeed (interj)
órui|daily (n)
ôf|hood (n)
ú-|no, not, negative; impossible; ⚠️[N.] bad- (pref)
úbedui|not fit to say, unspeakable (adj)
úben|nobody, no one (n)
úgan(n)|gutless, faint-hearted, diffident  (adj)
úgarol|idling, not now doing or making (adj)
úgarth|trespass, *(lit.) misdeed (n)
úgethiol|boring, (lit.) not interesting (adj)
úlam|dumb, unable to speak, (lit.) untongued (adj)
úlan(n)|narrow, (lit.) not broad (adj)
úland|narrow, (lit.) not broad (adj)
úlren|odorous (adj)
únodui|countless (adj)
úthaes|inducement to do wrong, *temptation (n)
úthúlui|breathless (adj)
úvae|vowel; vocalic (n adj)
úvelui|not amiable, unloveable (adj)
û (adv interj)|no, not, [G.] nor (adv interj)
û (n)|voice (n)
ûr|fire; ⚠️[ᴱN.] sun (n)
ýda-|to hint; *to wink (vb)
ýl-|to drink (vb)
ýneg|twelve (cardinal)
ŷl|lamb (n)
ŷ|wine (n)
